"游戏","apk_type",Count
"com.LeSquare.ZombieReaperFixLT",2,1
"com.Level5.YWP",2,1
"com.LivelyCraft.BlockWorld",2,1
"com.M8.EjenAli_MATA_Academy",2,1
"com.MantisGames.DriftandRallyFREE",2,1
"com.MariiasGames.RetroBrickGame",2,1
"com.Meromsoft.SchoolGirlsSimulator",2,1
"com.Mosaba9a.asiladinia.qoran",2,1
"com.NeoMobileGames.BattleCity",2,1
"com.NextFloor.DestinyChild",2,1
"com.OppanaGames.HuntingSimulator4x4",2,1
"com.OppanaGames.MuscleCarChallenger",2,1
"com.OppanaGames.MuscleCarZL",2,1
"com.Passpartout.StarvingPainter",2,1
"com.PenguinRandomHouse.Beano",2,1
"com.PianoTiles.Pianotiles2alanwalker",2,1
"com.PiguinSoft.CafeRacer",2,1
"com.PoisonGames.SlendrinaMustDieTheAsylum",2,1
"com.PoisonGames.WendigoTheEvilThatDevours",2,1
"com.ProfiSoft.BMWDrifting",2,1
"com.QmzApps.hs",2,1
"com.Qplaze.RealRetroGames2",2,1
"com.RadanGames.Trainzimulator",2,1
"com.Reimajina.bookstory",2,1
"com.RoosterGames.RevolutionOffroad",2,1
"com.RoosterGames.TruckDriver2Multiplayer",2,1
"com.Sancaventures.GrandShooter",2,1
"com.ScnStudios.RealCityCarDriver3D",2,1
"com.Skowza.benten.ten.ben",2,1
"com.SmartSpace.SoSF.Android.malaysia",2,1
"com.SmokedStudios.CSim2",2,1
"com.StudioFurukawa.PixelCarRacer",2,1
"com.StudioR.TPR",2,1
"com.TJOC.TheJoyOfCreation",2,1
"com.TailOfTales.WaifuOrLaifu",2,1
"com.TaleSoftStudio.TapSouls",2,1
"com.UltimateGames.Fishing",2,1
"com.Vampire.Love.Story.Teen.Game.Romance",2,1
"com.WildSoda.MineSurvival",2,1
"com.Wooriline.Tienlen1vs1",2,1
"com.YoStarJP.AzurLane",2,1
"com.Zeeppo.RockLife",2,1
"com.a33studio.cspw",2,1
"com.abigames.towerdefense.td2",2,1
"com.absolute.bingo",2,1
"com.absolutist.skyclash",2,1
"com.acidcousins.fdunk",2,1
"com.actgames.bbrr.sgp",2,1
"com.actgroup.offroad.oiltanker.transport.simulation",2,1
"com.action.assassin.legend",2,1
"com.actiongames.multiplayercs",2,1
"com.activision.wipeout2",2,1
"com.adeskadev.jewelsthelgndofspdr",2,1
"com.adhdstudios.weedshop3",2,1
"com.agatestudio.juraganhantunew",2,1
"com.agatestudio.monsterresto",2,1
"com.agk.blitz",2,1
"com.ahoygames.okey",2,1
"com.aim.racinggt",2,1
"com.aladinfun.clashofsky_vn_pig",2,1
"com.alanapps.standoff",2,1
"com.alawar.FF3AmericanPie.F2P",2,1
"com.alawar.FarmFrenzy3.IceDomain",2,1
"com.amazinggamemaker.guessnamebasketballplayer",2,1
"com.amdroid.pedo.gas.flatulencia",2,1
"com.amech.mount.snipersstrike",2,1
"com.amegoo.dakon",2,1
"com.and.games505.exilebattleroyal",2,1
"com.and.riseofthekings",2,1
"com.androbaby.game2048",2,1
"com.androbros.wordsearchindonesian",2,1
"com.andromo.dev528717.app499404",2,1
"com.andron.crosswords2",2,1
"com.androyal.rivercrossing.complete",2,1
"com.angame.gunnymobi.vn",2,1
"com.anhhuy.ds4droid",2,1
"com.anhhuymarsh.ds4droid",2,1
"com.animoca.google.lordofmagic",2,1
"com.ankama.dragnboom",2,1
"com.ansangha.drdominoes",2,1
"com.ansangha.drlink",2,1
"com.ansangha.drparking4",2,1
"com.appgame7.jigsaw.free",2,1
"com.appgamesepakbola.ligasatuindonesia",2,1
"com.applabs.puzzle",2,1
"com.appquiz.Baby_Blocks",2,1
"com.apps.tomlinson.thefut17draftsimulator",2,1
"com.appxplore.crabwar",2,1
"com.appzone.lowkhyrokpro",2,1
"com.arloopa.rollercard",2,1
"com.arqew.bgc",2,1
"com.arzastudio.wheeliebike",2,1
"com.asg.etgt2",2,1
"com.asobimo.AlmategiaOfficial",2,1
"com.asobimo.avabel_gp_b3",2,1
"com.asobimo.izanagiOfficial",2,1
"com.asobimo.toramonline",2,1
"com.aspieapps.free.emulator",2,1
"com.assasinCreed.bloodlinesWalking",2,1
"com.atari.mobile.rctempire",2,1
"com.atomgame.gunwar",2,1
"com.auxbrain.zh2",2,1
"com.auxbrain.zombie_highway",2,1
"com.avengertw",2,1
"com.avidionmedia.iGunHD",2,1
"com.awt.subwayruncity",2,1
"com.axlebolt.standoff2",2,1
"com.azurgames.BattleGroundRoyale",2,1
"com.badfrog.conspiracy.app",2,1
"com.badminton.free",2,1
"com.bahubali.game",2,1
"com.bai69.danhbaidoithuong",2,1
"com.balysv.loop",2,1
"com.bambo.soccerbeach",2,1
"com.bandai.zakstorm",2,1
"com.bandainamcoent.citywars",2,1
"com.bandainamcoent.digimon_linkz",2,1
"com.bandainamcoent.digimon_linkz_ww",2,1
"com.bandainamcoent.imas_millionlive_theaterdays",2,1
"com.bandainamcoent.saomd",2,1
"com.bandainamcoent.saomdna",2,1
"com.bandainamcoent.sgr",2,1
"com.bandainamcoent.taikogp",2,1
"com.bandainamcoent.torays",2,1
"com.bandainamcogames.dbzdokkan",2,1
"com.bandainamcogames.pacfriends",2,1
"com.bandainamcogames.sdgstww",2,1
"com.barkost.rpg",2,1
"com.baviux.voicechanger",2,1
"com.bbgame.sgzapk.hk",2,1
"com.beardoor.mykoreanteacher",2,1
"com.bearhugmedia.android_sportsday",2,1
"com.beautygirlsinc.android_fashiondressdesigner",2,1
"com.beautygirlsinc.android_magzinephotoshoot",2,1
"com.beautygirlsinc.android_makeupeyesalon",2,1
"com.beautygirlsinc.android_winterhair",2,1
"com.beemoov.secrethenri.android",2,1
"com.ben.alien.fight.transform.tentengame",2,1
"com.berniiiiiiii.pyramots",2,1
"com.bestking.ninjawar",2,1
"com.beststrategy.kofxiv",2,1
"com.bettergame.clashhero",2,1
"com.beyondstudio.knightgame",2,1
"com.bfs.papertoss",2,1
"com.bigame.petworldred",2,1
"com.bigbeep.drivecar",2,1
"com.bigmouth.controlvoicegame",2,1
"com.bigzur.slenderiiifree",2,1
"com.bigzur.slendermansaga.free",2,1
"com.binaryworkssystems.juraganwayang",2,1
"com.bitmango.go.blockhexapuzzle",2,1
